3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
look at the car.,look.,car.,hi.,oh you want your daddy to make you a new bed.,what's this.,a parrot.,what's this.,it's a little bit like a doughnut.,who's a monkey.,where is it.,you'll want to have some milk with that.,hey little one.,this is the cat.,oh my goodness.,we got a cat.,you mean like the bird that's in the tree.,you know you're gonna get it off when you come inside.,you see the bird.,we gotta have a little party for your friends.,oh you're in the car.,okay.,you can play with the little guy.,I think she's a truck.,I think you're right.,we're going to go downstairs and we're gonna go to the park and we're gonna play in the playground.,yeah.,you know that's just another way of saying you know that's a new way of saying it.
and then the car goes down the hill.,there's a bird.,oh look at that car.,"yeah, this is a kitty.",who's this.,can you tell me where the baby is.,we'll take a picture.,can you show me how to do it.,we can eat some apples.,do you wanna take them out of the box.,oh.,are you gonna give us some.,you wanna go get another car.,yeah.,I like them.,oh there's a cat in there.,the little blue birdie.,so this cat's wearing a helmet and a seatbelt and a scarf and a hat and a necktie and a tie and some pants.,there's a bird in the tree.,do you want to play with your dolls.,I know you like to go fast.,it's the blue one.,you can put the toys in the box.,and you gotta be very careful about that.,yeah.,and then she's gonna sit on a chair.,they're not big birds.,yeah we'll have a nice day.
that's a car.,little bird.,right there is a car.,here's a big fish.,okay let's get a dog.,there's a family right there.,see the birdies.,who's the one.,well.,the toys.,right.,okay.,no.,it's a cat.,that's a turtle.,oh yes.,I'm going to take you on a little trip with me.,the cat had kittens.,what's that.,okay now let's see if they're still there.,they're a lot of fun.,that's the ball.,and what's this one here.,oh it's a nice little car.,do you remember what it was called.,how's Mommy's hair?,this is the bird's nest.,you go.
oh look at that car.,what's this.,go.,I think you're looking at the lamb.,wow.,okay.,we'll have to wait.,it's a big ball.,mhm.,yeah.,oh.,it's a pineapple.,go right.,oh.,yes he is a monkey.,what's a cat.,well she is sitting down.,the cat's going to the cat's house.,what's that.,oh you have to put them back where they belong.,we're driving.,you're a cowboy.,oh look.,yeah there's a car.,what's that.,and then you got a little brother and a little sister.,and he's holding a little birdie.,it's like a little umbrella.
what is that.,yeah a bird.,it's a car.,where's the caterpillar.,dog.,she's your big sister.,yeah that's a bird.,okay.,mmm.,look at the ball.,oh.,okay.,where's the car.,he's a cat.,well that's a little different.,that's a cat.,a. It's a hummingbird. It's a hummingbird.,and then you can look at your dog.,wow.,we're going to play with this.,oh.,I see.,and what's that.,it's like a train.,and what's that.,I know.,they have feathers on their legs and their tail.,oh that's too big.
that's right car.,hello bird.,go get it.,and they eat the baby animals.,see dog.,who's this one.,oh I see a bird.,and you put them in the box.,oh what's this.,oh it's just another ball.,and he's a baby.,oh let's make it a pizza.,they drive the car and they have to get in the car.,we have a cat.,what kind of animal are you going to put on the table.,yeah it's a nice cat.,it's a blue jay.,and they can go on the roof and play.,oh wow.,we'll take off the box.,you gotta stop.,that's a dinosaur.,yeah.,I'll have to get that fixed.,and she's a little girl too.,well you're the first one to get out and go.,you're a bird.,and we're going to get the cousins together.
look at the car.,you wanna see the bird.,oh okay.,you gotta get out of there.,that's a nice dog.,okay.,look.,you see all of those toys over there.,yeah we can have a little bit of that.,you're going to put them back on the shelf.,yeah I think that's the one.,mashed potatoes.,he's driving a car.,and he goes here.,it's a little bit hard to see because it's not very big.,I know.,and the baby bird has got his wings and he's flying.,well you have to keep him inside.,it's a hawk.,and they're called bumpy balls.,car.,the little red riding hood is gonna see what the wolf is going to eat.,what's that.,where did you put your car.,I'm going to put this down here and we'll get the next one.,you're a good girl.,the bird had a baby bird.,hey.
wow.,it's a bird.,it's a car.,see that pony.,wanna see that.,oh let's see.,you see the bird sitting there.,here.,let's go get something to eat.,wow.,well she's really nice but she's not a good mom.,let's open the can.,can you find the car.,hey what's this.,you're not supposed to do that.,you'll need to get a lot of cat treats.,bird's got a beak.,you want to kiss the cat.,what's that.,what's that.,oh look at that.,this toy.,here's the other one.,car.,what's the difference between cake and pie.,okay.,oh look a bird.,Mommy and Daddy.
you're in a car.,what's that bird called.,we're going to take a picture of that car.,look at the bunny.,here's a little doggie.,and they had the baby.,what's that.,can you put them all on the floor.,can you tell me what you're going to do.,okay.,oh that's really nice.,I'll do it later.,okay.,you gotta go get the cat.,he's gonna eat it up.,oh yeah.,what kind of bird is this.,see it.,you like the duck.,yeah that's a big.,it's a car.,a robot.,and they're both so much fun to play with.,you know how to drive a car.,what are they called.,well then we can go get some ice cream.,he's a seagull.,okay.
you wanna drive it.,here's a bird.,what's that.,you wanna play with that dog.,oh my gosh that's a bunny.,they're all brothers.,and you can say bird.,the toys are for the baby.,look at that one.,you're going to go on the playground.,yeah.,okay.,car and truck.,do you see the kitty in the basket.,and the other one's a little bit bigger.,yeah.,you know how a little birdie lives in a birdie nest.,what kind of cat.,can you think of a bird that looks like a duck.,a robot.,that car has four wheels.,you're not allowed to play with it.,what kind of toys do you have.,oh okay.,it's going to be very good.,okay.,he's a birdie.,oh my gosh.
and here's the car.,there's a bird in the nest.,you gotta keep your hand off the gas.,that's a baby bunny.,where's the dog.,what's in the bath.,that's a chickadee.,oh they're called puzzles.,yeah that's right.,you can do the trucks.,do you know what's that.,you're gonna eat some mangoes.,I'm driving.,okay.,and it's got little white stripes on its face.,the kitty in the box.,uh oh.,oh yeah I did.,and they're all flying around.,okay.,and then.,we'll go back to the car and take the toys out of the car.,what kind of toys are these.,uh oh.,yeah they're good.,okay.,you want to say hello to bird.,I don't think she's here.
look at this car.,that's a bird.,the car goes vroom vroom.,no that's not a panda.,wag the dog.,that's your brother.,it's called a hawk.,oh yeah.,who's eating the hamburger.,you're gonna put the bear and the duck together.,can you put it on your head.,no.,well I think that's the way that you're supposed to do it.,yeah he's a little baby.,yeah.,that's a dog.,bird.,oh he's not really in there.,that's a turkey.,what's that.,hey you gotta be careful when you're driving the car.,yes.,I'm glad you have those new toys.,that's it.,you're going to want to drink some milk after that.,I'm not sure.,he can see the bird.,the kids and the kids and the kids and the kids.
let's go for a car ride.,look at that bird.,oh look at the car.,they have their own teeth.,you see the dog.,mommy.,uhhuh.,what's that.,that's a good idea.,wanna play with the cars.,you know what I mean.,and that's the potato.,you're gonna have a race with that car.,that's a kitty.,and a little frog.,let's see.,that's a parrot.,you want to see this picture.,yeah he's a blue jay.,well.,yeah.,I guess so.,you're putting it on the floor.,oh.,oh I love those.,oh my gosh.,and a dove.,I'm sorry that's not fair.
right.,okay.,it's a car.,and what about this one.,doggie barking.,no.,bird.,right here.,it's just like this one.,and then he can have a car.,let's go see the birds at the bird sanctuary.,no.,it's a car.,you know.,that's right.,it's a cat.,okay.,so then you know what we need to do is make sure we have some more cat food.,what bird did you see.,we can take a break and come back and play.,you wanna go.,okay.,that's right.,well we're gonna take the car to the shop.,a big chocolate chip cookie.,who are they.,what's that bird called.,yeah.
that's a car.,what's this bird doing.,right.,look.,that's a dog.,Mommy.,it's a bird.,let's see if you can find the right one.,and then you can make a nice juicy steak for yourself.,look at those trucks.,we're gonna go to the park and we're gonna go to the zoo.,oh you like it.,look at your toy.,you know who has claws?,you wanna tell me about the animal.,you have a cat.,oh my gosh.,well you know that's not like this.,this bird's called a robin.,and then you can go and get the other ones.,the car is a red car.,let's put them away.,do you want to go play.,it's like a big truck.,that's right.,I see you got a new book.,there's a bird outside.,I'm not.
we're going to go to the car.,look at that.,yeah.,that's a horse.,wanna go and look at the dog.,that's right.,there's a bird on the tree.,that's a doll.,are we going to have a chicken sandwich.,okay.,yeah I'm gonna put that back.,do you think that's enough.,you're gonna make a car out of this.,well if they don't eat them they're just gonna turn into cats.,okay.,yes you're right she's sitting on the counter.,that's a little birdie.,oh cat.,and a duck.,you know what I think we should do.,there's no way they can get through that fence.,that's a baby.,there's a truck.,that's a car.,what is the word.,oh well then we're gonna have a lot of fun.,and the birds are in the sky.,that's a great idea.
you want a car.,bird.,there's a car in the driveway.,it's a lion.,you're a good dog.,she's in the front seat.,can you say bird.,you're gonna make it go boom boom.,you want some more juice.,right here's your toys.,what are you going to do today.,well you can have some more and then I'll give you some.,and it has wheels too.,well maybe they have toys.,you can use your hands.,yeah.,oh my gosh.,here's one more.,they're just like a bird.,you have a lot of stuffed animals.,right.,you can put it on the floor.,right.,that's a car.,you're gonna have a lot of food.,yeah it's very pretty.,oh.,so it's like you're telling us.
